study-id,citation-key,benchmark-name,task-category,architecture,n-items,n-correct-ma,n-correct-sa,n-items-source,compute-parity-flag,audit-status,rob-overall,yi,vi,h,ma-pct,sa-pct,rd-pct
S032,Cui2025,8 benchmarks (GSM-Ranges / AIME / MATH500 / StrategyQA),math,debate,5000,3222,2786,imputed,yes,unaudited,some,0.365,0.0017,0.178,64.4,55.7,8.7
S033,Wang2025,GPQA,other,debate,198,95,85,exact,yes,unaudited,some,0.204,0.0408,0.101,48.0,42.9,5.1
S034,Tian2026,MATH,math,debate,5000,4010,3890,imputed,unclear,unaudited,some,0.145,0.0024,0.059,80.2,77.8,2.4
S035,Tran2026,FRAMES,other,debate,824,181,206,estimated,yes,unaudited,some,-0.169,0.0136,-0.072,22.0,25.0,-3.0
S036,Li2026,13 datasets (Knowledge / Math / Medicine / Science / Reasoning),math,debate,5000,3350,3265,imputed,yes,unaudited,some,0.076,0.0018,0.036,67.0,65.3,1.7
S037,Hu2025,LLMBar,evaluation,debate,419,344,323,exact,unclear,unaudited,some,0.31,0.0298,0.125,82.1,77.1,5.0
S038,Liu2026,MATH500 / AMC23 / AIME24 / AIME25 (avg),math,debate,5000,2885,2645,imputed,unclear,unaudited,some,0.194,0.0016,0.097,57.7,52.9,4.8
S039,Zhou2025,HiddenBench (65 tasks),other,cooperation,65,20,53,exact,no,unaudited,high,-2.296,0.1744,-1.077,30.8,81.5,-50.7
S040,Wang2024,AlpacaEval 2.0,other,moa,805,524,463,estimated,no,verified-corrected,high,0.32,0.0106,0.156,65.1,57.5,7.6
S041,Ki2025,NormAd-ETI,other,debate,500,380,355,exact,no,verified-corrected,high,0.257,0.0207,0.113,76.0,71.0,5.0
